страница: file:///D:/work/guides/courses/.pipeline/R0-07/review-3.boundary.html
CSS: единственный <link> на ui/courses.css

   vp | inner | mq479/767/1023 | sp:text-center | tablet:px-6 L/R | phone:text-h2 | phone:h1-mob | desk:hidden | tab-only:hid | phab:block | tablet:flex
  320 |   320 |          Y/Y/Y |         center |       24px/24px |          24px |         30px |      inline |       inline |     inline |      inline
  400 |   400 |          Y/Y/Y |         center |       24px/24px |          24px |         30px |      inline |       inline |     inline |      inline
  479 |   479 |          Y/Y/Y |         center |       24px/24px |          24px |         30px |      inline |       inline |     inline |      inline
  480 |   480 |          n/Y/Y |          start |       24px/24px |          24px |         30px |      inline |       inline |     inline |      inline
  481 |   481 |          n/Y/Y |          start |       24px/24px |          24px |         30px |      inline |       inline |     inline |      inline
  700 |   700 |          n/Y/Y |          start |       24px/24px |          24px |         30px |      inline |       inline |     inline |      inline
  767 |   767 |          n/Y/Y |          start |       24px/24px |          24px |         30px |      inline |       inline |     inline |      inline
  768 |   768 |          n/n/Y |          start |       24px/24px |          24px |         32px |      inline |       inline |     inline |      inline
  769 |   769 |          n/n/Y |          start |       24px/24px |          24px |         32px |      inline |       inline |     inline |      inline
  900 |   900 |          n/n/Y |          start |       24px/24px |          24px |         32px |      inline |       inline |     inline |      inline
 1023 |  1023 |          n/n/Y |          start |       24px/24px |          24px |         32px |      inline |       inline |     inline |      inline
 1024 |  1024 |          n/n/n |          start |         0px/0px |          24px |         32px |      inline |       inline |     inline |      inline
 1025 |  1025 |          n/n/n |          start |         0px/0px |          24px |         32px |      inline |       inline |     inline |      inline
 1400 |  1400 |          n/n/n |          start |         0px/0px |          24px |         32px |      inline |       inline |     inline |      inline
