
12395:7441 | Вайб-чек | 1600×11838 | членов 13
  1 | site-header | 12395:7449 | 70 | признак | член 1, высота 70 px — полоса ниже 180 px над hero, 7 коротких ссылок
  2 | hero | 12395:11001 | 764 | признак | первый член стопки выше 400 px (764 px), позиция 2
  3 | ? | 12395:7569 | 207 | — | не хватило: текстов 8, повторов 1, полей 0, высота 207
  4 | testimonials | 12470:62 | 1276 | признак | 3 прямых цитат в кавычках и слово мы спросили
  5 | jobs | 12434:390 | 1836 | признак | 2 названий вакансий под заголовком со словом «вакансии»
  6 | interactive | 12395:7877 | 1043 | признак | слово квиз/quiz в имени секции или её ближних слоёв
  7 | interactive | 12395:7943 | 2432 | признак | слово настолк/играй в имени секции или её ближних слоёв
  8 | jobs | 12395:7983 | 540 | признак | имя слоя со словом «вакансии», 1 названий должностей
  9 | form | 12395:8058 | 680 | признак | 1 поле почты, 0 плейсхолдеров ввода, кнопка участвовать
  10 | ? | 12395:8133 | 500 | — | не хватило: текстов 2, повторов 3, полей 0, высота 500
  11 | partners | 12395:8035 | 634 | признак | слово компани/работодател в заголовке, 0 логотипов и 3 развёрнутых описаний
  12 | ecosystem-list | 12395:8152 | 1032 | признак | перечень продуктов Хабра: хабр карьер, калькулятор зарплат, место встречи айтишников
  13 | footer-social | 12395:8259 | 824 | признак | последний член, соцсети и копирайт: социальных сетях, присоединяйтесь, сделано в хабре
НЕ СТОПКА 1324:7793 ПК 1400x3582 вне стопки 18

14871:1319 | Хабру 19 лет | 1600×14462 | членов 22
  1 | site-header | 14871:1330 | 100 | признак | член 1, высота 100 px — полоса ниже 180 px над hero
  2 | gallery | 14871:1353 | 380 | признак | слово музей/артефакт/коллекци в заголовке
  3 | hero | 14876:3580 | 740 | признак | первый член стопки выше 400 px (740 px), позиция 3
  4 | gallery | 14871:1390 | 190 | признак | слово артефакт в заголовке
  5 | ? | 14973:3564 | 531 | — | не хватило: текстов 0, повторов 3, полей 0, высота 531
  6 | gallery | 14871:1406 | 905 | признак | слово артефакт в заголовке
  7 | ? | 14871:1477 | 635 | — | не хватило: текстов 13, повторов 2, полей 0, высота 635
  8 | winners | 14972:2080 | 1924 | признак | слово победител в заголовке, 12 × «Frame»
  9 | marquee | 14871:1540 | 115 | признак | полоса 115 px при ширине 1600, ряд 14871:1541 шире своего фрейма в 1.11 раза
  10 | gallery | 14871:2699 | 962 | признак | слово артефакт в заголовке
  11 | gallery | 14871:2711 | 1034 | признак | слово артефакт в заголовке
  12 | ? | 14871:1646 | 480 | — | не хватило: текстов 0, повторов 63, полей 0, высота 480
  13 | gallery | 14871:2744 | 658 | признак | слово артефакт в заголовке
  14 | company-callout | 14871:1749 | 566 | признак | обращение к компаниям и канал связи: чат-бот
  15 | partners | 14871:1768 | 1856 | признак | слово партнёр/компани в заголовке, 5 логотипов и 4 развёрнутых описаний
  16 | interactive | 14873:2944 | 170 | признак | слово game/играй в имени секции или её ближних слоёв
  17 | ecosystem-list | 14871:2760 | 712 | признак | перечень продуктов Хабра: экосистем, семейство продуктов
  18 | ecosystem-list | 14871:2768 | 556 | признак | перечень продуктов Хабра: хабр карьер
  19 | marquee | 14871:1904 | 115 | признак | полоса 115 px при ширине 1600, ряд 14871:1905 шире своего фрейма в 1.11 раза
  20 | company-callout | 14871:1962 | 529 | признак | обращение к компаниям и канал связи: вы из компании, чат-бот
  21 | ? | 14871:1975 | 600 | — | не хватило: текстов 1, повторов 19, полей 0, высота 600
  22 | footer-social | 14871:2795 | 704 | признак | последний член, соцсети и копирайт: социальных сетях, подпишись, подписывайтесь, сделано в хабре

18085:3890 | [MAIN]--main_wrapper | 1440×7282 | членов 8
  1 | site-header | 18085:3897 | 91 | признак | член 1, высота 91 px — полоса ниже 180 px над hero, имя слоя «section_navbar»
  2 | hero | 18085:3930 | 714 | признак | первый член стопки выше 400 px (714 px), позиция 2
  3 | features | 18085:3962 | 1159 | признак | 4 × «card» под словом имени слоя « benefits-section»
  4 | features | 18085:4032 | 681 | признак | 3 × «image» под словом имени слоя «audience-section»
  5 | program | 18085:4047 | 1488 | признак | имя слоя расписания
  6 | program | 18250:82 | 693 | признак | имя слоя расписания
  7 | form | 18085:4121 | 880 | признак | 0 поле почты, 4 плейсхолдеров ввода, кнопка отправки
  8 | footer-corporate | 18095:5885 | 714 | признак | последний член, корпоративный блок: ооо «хабр»

6509:20474 | Frame 123456879 | 1400×9788 | членов 11
  1 | hero | 6509:20475 | 680 | признак | первый член стопки выше 400 px (680 px), позиция 1; строка разделов лежит внутри него, отдельной шапки нет
  2 | form | 6509:20505 | 241 | признак | 1 поле почты, 0 плейсхолдеров ввода, кнопка подписаться
  3 | features | 6509:20516 | 900 | имя | содержательных признаков нет; имя слоя «do it»
  4 | program | 6518:20250 | 1018 | имя | имя секции целиком — «даты»
  5 | nominations | 6509:20582 | 1745 | имя | имя секции целиком — «номинации»
  6 | winners | 6509:20730 | 840 | признак | слово победител в заголовке, 4 × «победители»
  7 | winners | 8284:20665 | 642 | имя | содержательных признаков нет; имя слоя «победители»
  8 | speakers | 6535:20030 | 980 | имя | имя секции целиком — «жюри»
  9 | rules | 6509:20820 | 1124 | имя | имя секции целиком — «правила»
  10 | winners | 6738:22636 | 1003 | признак | слово победител в заголовке, 3 × «Subtract»
  11 | footer-social | 6509:20938 | 615 | признак | последний член, соцсети и копирайт: сделано в хабре, подвал

10929:505 | Frame 123457234 | 1600×8570 | членов 11
  1 | hero | 10943:2225 | 960 | признак | первый член стопки выше 400 px (960 px), позиция 1; строка разделов лежит внутри него, отдельной шапки нет
  2 | features | 10948:479 | 1530 | признак | 3 × «Frame» под словом участвуйте, если/формат
  3 | partners | 10929:721 | 790 | признак | слово участники/компани в заголовке, 5 логотипов и 3 развёрнутых описаний
  4 | program | 10929:1068 | 720 | имя | имя секции целиком — «программа»
  5 | form | 10948:605 | 640 | признак | 1 поле почты, 0 плейсхолдеров ввода, кнопка участвовать
  6 | lead-in | 10948:665 | 580 | признак | 4 строк текста, ни карточек, ни полей, ни кнопки, высота 580 px
  7 | jobs | 10944:4693 | 580 | признак | 4 названий вакансий и кнопка «хочу тут работать»
  8 | features | 10948:716 | 550 | признак | 4 × «Vector» под словом формат
  9 | lead-in | 10929:975 | 510 | признак | 1 строк текста, ни карточек, ни полей, ни кнопки, высота 510 px
  10 | ecosystem-list | 10948:1196 | 880 | признак | перечень продуктов Хабра: хабр карьер, место встречи айтишников
  11 | footer-social | 10948:1263 | 830 | признак | последний член, соцсети и копирайт: социальных сетях, присоединяйтесь, сделано в хабре

12008:425 | Лендинг | 1600×6369 | членов 10
  1 | hero | 12008:426 | 814 | признак | первый член стопки выше 400 px (814 px), позиция 1
  2 | lead-in | 12011:13894 | 328 | признак | 2 строк текста, ни карточек, ни полей, ни кнопки, высота 328 px
  3 | features | 12015:14098 | 613 | признак | 2 × «Frame» под словом кому подойд
  4 | ? | 12008:753 | 336 | — | не хватило: текстов 2, повторов 6, полей 0, высота 336
  5 | features | 12008:567 | 676 | признак | 5 × «Frame» под словом бонус/формат
  6 | partners | 12028:928 | 1013 | признак | слово участники/компани в заголовке, 0 логотипов и 5 развёрнутых описаний
  7 | features | 12008:622 | 838 | признак | 4 × «picture» под словом формат
  8 | speakers | 12008:674 | 490 | имя | имя секции целиком — «Преподаватели»
  9 | speakers | 12011:13904 | 750 | имя | имя секции целиком — «Преподаватели»
  10 | footer-social | 12043:1247 | 511 | признак | последний член, соцсети и копирайт: телеграм, сделано в хабре

12276:374 | Хабру 18 лет | 1600×10624 | членов 5
  1 | hero | 12276:375 | 840 | признак | первый член стопки выше 400 px (840 px), позиция 1; строка разделов лежит внутри него, отдельной шапки нет
  2 | interactive | 12276:396 | 1696 | признак | слово квиз в имени секции или её ближних слоёв
  3 | timeline | 12276:453 | 3888 | признак | 12 разных годов в одном блоке
  4 | interactive | 12276:578 | 2644 | признак | слово квиз в имени секции или её ближних слоёв
  5 | footer-social | 12276:591 | 1556 | признак | последний член, соцсети и копирайт: социальных сетях, сделано в хабре
НЕ СТОПКА 1284:3362 1400 1400x1542 вне стопки 10

15673:318 | Бренд-профиль на Хабр Карьере | 1440×7878 | членов 8
  1 | hero | 15818:15320 | 791 | признак | первый член стопки выше 400 px (791 px), позиция 1
  2 | ? | 15679:9707 | 1763 | — | не хватило: текстов 7, повторов 3, полей 0, высота 1763
  3 | ? | 15680:9735 | 995 | — | не хватило: текстов 13, повторов 4, полей 0, высота 995
  4 | ? | 15673:372 | 1595 | — | не хватило: текстов 10, повторов 7, полей 0, высота 1595
  5 | features | 15685:494 | 1063 | признак | 3 × «Frame» под словом бонус
  6 | ? | 15701:22798 | 240 | — | не хватило: текстов 3, повторов 3, полей 0, высота 240
  7 | form | 15842:17120 | 913 | признак | 1 поле почты, 5 плейсхолдеров ввода, кнопка отправить/хочу консультацию
  8 | footer-social | 15673:440 | 518 | признак | последний член, соцсети и копирайт: социальных сетях, присоединяйтесь, телеграм, сделано в хабре

16418:3180 | Frame 2087325353 | 1600×11513 | членов 12
  1 | hero | 16418:3191 | 1030 | признак | первый член стопки выше 400 px (1030 px), позиция 1; строка разделов лежит внутри него, отдельной шапки нет
  2 | ? | 16559:2400 | 398 | — | не хватило: текстов 5, повторов 3, полей 0, высота 398
  3 | ? | 16447:5563 | 958 | — | не хватило: текстов 0, повторов 2, полей 0, высота 958
  4 | features | 17251:8965 | 866 | признак | 7 × «Frame» под словом вас ждёт
  5 | program | 16418:3583 | 1549 | признак | 4 дат и 16 отметок времени в одном блоке
  6 | speakers | 16418:3689 | 985 | признак | строка-заголовок «Модератор нетворкинга» и 4 карточек
  7 | interactive | 16466:15271 | 686 | признак | слово фреймворк в имени секции или её ближних слоёв
  8 | partners | 16687:2168 | 2366 | признак | слово работодател в заголовке, 6 логотипов и 4 развёрнутых описаний
  9 | lead-in | 16651:7109 | 537 | признак | 2 строк текста, ни карточек, ни полей, ни кнопки, высота 537 px
  10 | faq | 16418:4141 | 686 | признак | 4 × «Frame» под заголовком FAQ
  11 | ecosystem-list | 16418:4183 | 970 | признак | перечень продуктов Хабра: хабр карьер, экосистем, калькулятор зарплат
  12 | footer-social | 16418:4910 | 482 | признак | последний член, соцсети и копирайт: социальных сетях, присоединяйтесь, сделано в хабре

17473:826 | ТТ-7_2024 | 1440×9182 | членов 11
  1 | site-header | 17473:834 | 70 | признак | член 1, высота 70 px — полоса ниже 180 px над hero
  2 | hero | 17473:844 | 839 | признак | первый член стопки выше 400 px (839 px), позиция 2
  3 | timeline | 17473:947 | 532 | признак | 7 разных годов в одном блоке
  4 | form | 17473:983 | 257 | признак | 1 поле почты, 0 плейсхолдеров ввода, кнопка отправки
